id;vin_number;registration_number;date_sent_to_fic;date_fixed;milage;car_element_name;fault_severity;cost;mechanics_report
1;P40VVDOT05100002;K9100002;2000-06-01;2000-06-06;19453;Hamulce;6;3074;Komentarz mechanika
2;Z15POMRR44100004;F6100004;2000-06-01;2000-06-08;15054;Wydech;1;4675;Komentarz mechanika
3;Z15POMRR44100004;F6100004;2000-06-08;2000-06-15;15201;Silnik;1;6792;Komentarz mechanika
4;Z15POMRR44100004;F6100004;2000-08-15;2000-08-23;15643;Hamulce;4;8623;Komentarz mechanika
5;Z15POMRR44100004;F6100004;2000-10-23;2000-11-02;15708;Silnik;7;5580;Komentarz mechanika
6;A65JZGXG62100005;V6100005;2000-07-01;2000-07-06;20926;Warczy;5;5563;Komentarz mechanika
7;B67QLWCW99100006;X3100006;2000-08-01;2000-08-01;15701;Silnik;8;3231;Komentarz mechanika
8;B67QLWCW99100006;X3100006;2000-10-01;2000-10-09;15421;Warczy;1;9434;Komentarz mechanika
9;Z03YCSHZ86100007;P6100007;2000-07-01;2000-07-10;15546;Silnik;8;8670;Komentarz mechanika
10;Z03YCSHZ86100007;P6100007;2000-07-10;2000-07-19;16294;Silnik;10;7536;Komentarz mechanika
11;Z03YCSHZ86100007;P6100007;2000-08-19;2000-08-23;15682;Silnik;1;4011;Komentarz mechanika
12;N28ZPXAA26100008;Z1100008;2000-08-01;2000-08-10;12282;Hamulce;8;4463;Komentarz mechanika
13;N28ZPXAA26100008;Z1100008;2000-09-10;2000-09-15;12395;Hamulce;3;8862;Komentarz mechanika
14;N28ZPXAA26100008;Z1100008;2000-11-15;2000-11-17;12639;Hamulce;3;8059;Komentarz mechanika
15;N28ZPXAA26100008;Z1100008;2000-13-17;2000-13-21;12729;Wydech;9;975;Komentarz mechanika
16;W19MJVYL14100009;G5100009;2000-08-01;2000-08-03;11250;Hamulce;4;8207;Komentarz mechanika
17;T72IUCUI56100010;S5100010;2000-07-01;2000-07-08;19234;Hamulce;3;7846;Komentarz mechanika
18;T72IUCUI56100010;S5100010;2000-08-08;2000-08-17;18870;Silnik;7;3284;Komentarz mechanika
19;U38DJBTA30100011;O4100011;2000-08-01;2000-08-06;19483;Wydech;5;7112;Komentarz mechanika
20;Q25WBSLU16100013;W4100013;2000-07-01;2000-07-09;15694;Silnik;4;7676;Komentarz mechanika
21;P27BVYUT70100015;J1100015;2000-08-01;2000-08-10;13066;Warczy;4;9632;Komentarz mechanika
22;P27BVYUT70100015;J1100015;2000-09-10;2000-09-18;12965;Silnik;10;5983;Komentarz mechanika
23;P27BVYUT70100015;J1100015;2000-11-18;2000-11-21;12809;Warczy;2;3562;Komentarz mechanika
24;P27BVYUT70100015;J1100015;2000-13-21;2000-13-26;12747;Silnik;9;3277;Komentarz mechanika
25;F35UJUMV34100016;O4100016;2000-08-01;2000-08-10;12030;Hamulce;3;3751;Komentarz mechanika
26;F35UJUMV34100016;O4100016;2000-10-10;2000-10-11;11549;Warczy;7;1646;Komentarz mechanika
27;F35UJUMV34100016;O4100016;2000-10-11;2000-10-12;11619;Wydech;6;5617;Komentarz mechanika
28;F35UJUMV34100016;O4100016;2000-10-12;2000-10-19;11915;Wydech;5;9098;Komentarz mechanika
29;I95OFLYU10100018;E7100018;2000-06-01;2000-06-03;13029;Warczy;3;664;Komentarz mechanika
30;I95OFLYU10100018;E7100018;2000-08-03;2000-08-08;13150;Silnik;1;2510;Komentarz mechanika
31;I95OFLYU10100018;E7100018;2000-10-08;2000-10-15;13481;Warczy;6;3584;Komentarz mechanika
32;I95OFLYU10100018;E7100018;2000-12-15;2000-12-25;12933;Hamulce;7;889;Komentarz mechanika
33;C26CDJMN80100019;D3100019;2000-08-01;2000-08-09;21126;Silnik;3;6174;Komentarz mechanika
34;C26CDJMN80100019;D3100019;2000-09-09;2000-09-11;20886;Warczy;6;3456;Komentarz mechanika
35;C26CDJMN80100019;D3100019;2000-09-11;2000-09-11;21336;Warczy;5;264;Komentarz mechanika
36;U63LCGEK12100020;C9100020;2000-07-01;2000-07-09;19588;Hamulce;2;5410;Komentarz mechanika
37;U63LCGEK12100020;C9100020;2000-07-09;2000-07-17;19822;Warczy;4;2334;Komentarz mechanika
38;M50GGZYU28100021;H4100021;2000-07-01;2000-07-05;18768;Hamulce;4;3542;Komentarz mechanika
39;R25GUGCK74100022;K5100022;2000-08-01;2000-08-07;12670;Hamulce;4;4457;Komentarz mechanika
40;R25GUGCK74100022;K5100022;2000-08-07;2000-08-16;12444;Silnik;5;6562;Komentarz mechanika
41;Y45IAKSN86100024;G8100024;2000-06-01;2000-06-10;13349;Silnik;8;7417;Komentarz mechanika
42;Y45IAKSN86100024;G8100024;2000-06-10;2000-06-19;13780;Wydech;9;6720;Komentarz mechanika
43;Y45IAKSN86100024;G8100024;2000-07-19;2000-07-21;13983;Silnik;5;805;Komentarz mechanika
44;Y01MWZHG30100025;U8100025;2000-07-01;2000-07-04;15692;Silnik;2;891;Komentarz mechanika
45;Y01MWZHG30100025;U8100025;2000-09-04;2000-09-04;15566;Warczy;1;1143;Komentarz mechanika
46;Y01MWZHG30100025;U8100025;2000-11-04;2000-11-07;15502;Silnik;2;9061;Komentarz mechanika
47;I30ANJBY97100026;L9100026;2000-06-01;2000-06-09;12305;Wydech;2;6095;Komentarz mechanika
48;O96VSWNH67100027;F3100027;2000-07-01;2000-07-06;16638;Wydech;6;7386;Komentarz mechanika
49;S57OSBWR11100028;F0100028;2000-06-01;2000-06-09;19777;Wydech;8;2949;Komentarz mechanika
50;E79RQGZA17100029;R4100029;2000-07-01;2000-07-10;17296;Warczy;5;8045;Komentarz mechanika
51;C16COUDX94100030;X4100030;2000-08-01;2000-08-07;14343;Warczy;9;769;Komentarz mechanika
52;J77HRZQL55100031;A4100031;2000-06-01;2000-06-04;17056;Wydech;6;2172;Komentarz mechanika
53;J77HRZQL55100031;A4100031;2000-08-04;2000-08-05;16927;Hamulce;9;9442;Komentarz mechanika
54;J77HRZQL55100031;A4100031;2000-09-05;2000-09-13;16877;Wydech;10;8485;Komentarz mechanika
55;E10MVPJH08100032;L8100032;2000-06-01;2000-06-01;13416;Hamulce;6;5953;Komentarz mechanika
56;E10MVPJH08100032;L8100032;2000-06-01;2000-06-11;13405;Silnik;10;2949;Komentarz mechanika
57;P21KXVPQ91100033;P1100033;2000-07-01;2000-07-07;11756;Hamulce;3;3970;Komentarz mechanika
