Dystans (m),Wysokość (m)
0,1199.675170898438
585.346459973818,1217.992309570312
1170.692919947636,1231.921264648438
1756.039379921454,1247.130981445312
2341.385839895272,1256.83935546875
2926.73229986909,1265.828735351562
3512.078759842908,1272.329467773438
4097.425219816726,1275.573608398438
4682.771679790544,1274.920043945312
5268.118139764362,1273.670166015625
5853.46459973818,1272.120483398438
6438.8110597119985,1272.39599609375
7024.157519685816,1270.664184570312
7609.503979659634,1267.9443359375
8194.850439633452,1263.98779296875
8780.19689960727,1260.070190429688
9365.543359581088,1257.436645507812
9950.889819554906,1254.813110351562
10536.236279528724,1250.266723632812
11121.582739502543,1247.287231445312
11706.92919947636,1241.840454101562
12292.275659450179,1239.280639648438
12877.622119423997,1235.87060546875
13462.968579397815,1233.007934570312
14048.315039371631,1230.868896484375
14633.66149934545,1227.26513671875
15219.007959319268,1226.514282226562
15804.354419293086,1224.30810546875
16389.700879266904,1225.724975585938
16975.047339240722,1224.0361328125
17560.39379921454,1225.674682617188
18145.74025918836,1226.772583007812
18731.086719162176,1228.669067382812
19316.433179135995,1234.6533203125
19901.779639109813,1238.187744140625
20487.12609908363,1238.262817382812
21072.47255905745,1237.408447265625
21657.819019031267,1232.41064453125
22243.165479005085,1228.48193359375
22828.511938978903,1221.212280273438
23413.85839895272,1216.8486328125
23999.20485892654,1212.616088867188
24584.551318900358,1213.118896484375
25169.897778874176,1218.364624023438
25755.244238847994,1223.349487304688
26340.590698821812,1225.13427734375
26925.93715879563,1224.356689453125
27511.28361876945,1222.680908203125
28096.630078743263,1225.3994140625
28681.97653871708,1229.095825195312
29267.3229986909,1228.546630859375
29852.669458664717,1227.904418945312
30438.015918638535,1227.063232421875
31023.362378612353,1229.017578125
31608.70883858617,1230.9775390625
32194.05529855999,1232.582275390625
32779.40175853381,1233.954833984375
33364.74821850763,1235.597290039062
33950.094678481444,1237.243774414062
34535.441138455266,1236.841674804688
35120.78759842908,1232.724975585938
35706.1340584029,1229.865356445312
36291.48051837672,1226.58837890625
36876.82697835054,1224.501220703125
37462.17343832435,1221.954833984375
38047.51989829817,1220.066650390625
38632.86635827199,1217.138916015625
39218.212818245804,1214.05322265625
39803.559278219625,1211.169311523438
40388.90573819344,1209.39208984375
40974.25219816726,1208.335327148438
41559.598658141076,1209.770751953125
42144.9451181149,1215.971923828125
42730.29157808871,1223.115600585938
43315.638038062534,1230.5537109375
43900.98449803635,1238.060791015625
44486.33095801017,1246.911376953125
45071.677417983985,1254.823486328125
45657.02387795781,1262.295654296875
46242.37033793162,1263.488525390625
46827.71679790544,1263.2255859375
47413.06325787926,1264.479370117188
47998.40971785308,1259.332275390625
48583.756177826894,1252.614135742188
49169.102637800715,1245.162231445312
49754.44909777453,1237.237670898438
50339.79555774835,1230.046630859375
50925.142017722166,1230.462524414062
51510.48847769599,1230.809814453125
52095.8349376698,1232.820068359375
52681.181397643624,1232.31982421875
53266.52785761744,1233.753540039062
53851.87431759126,1228.413696289062
54437.220777565075,1222.699951171875
55022.5672375389,1220.733276367188
55607.91369751271,1218.724365234375
56193.260157486526,1217.383422851562
56778.60661746035,1214.924194335938
57363.95307743416,1214.803833007812
57949.299537407984,1214.134399414062
58534.6459973818,1214.084594726562
59119.99245735562,1216.92724609375
59705.338917329434,1220.419799804688
60290.685377303256,1221.427612304688
60876.03183727707,1222.294189453125
61461.37829725089,1223.566772460938
62046.72475722471,1227.623657226562
62632.07121719853,1232.134765625
63217.41767717234,1235.226806640625
63802.764137146165,1237.308715820312
64388.11059711998,1239.7939453125
64973.4570570938,1239.032348632812
65558.80351706762,1234.558959960938
66144.14997704144,1237.841796875
66729.49643701526,1238.75830078125
67314.84289698907,1240.029418945312
67900.18935696289,1235.246459960938
68485.53581693671,1231.2451171875
69070.88227691053,1220.20263671875
69656.22873688434,1213.986694335938
70241.57519685816,1213.175903320312
70826.92165683198,1207.56982421875
71412.2681168058,1203.687377929688
71997.61457677961,1198.647338867188
72582.96103675343,1193.857055664062
73168.30749672726,1188.533447265625
73753.65395670108,1182.56591796875
74339.00041667488,1181.052001953125
74924.3468766487,1172.342163085938
75509.69333662253,1164.827514648438
76095.03979659633,1156.750366210938
76680.38625657016,1153.520629882812
77265.73271654398,1145.8173828125
77851.0791765178,1129.405029296875
78436.42563649161,1126.989624023438
79021.77209646543,1118.79541015625
79607.11855643925,1110.36474609375
80192.46501641307,1107.282836914062
80777.81147638688,1106.900634765625
81363.1579363607,1095.43505859375
81948.50439633452,1094.605346679688
82533.85085630835,1089.856079101562
83119.19731628215,1081.237548828125
83704.54377625597,1074.682250976562
84289.8902362298,1073.716796875
84875.23669620362,1064.09521484375
85460.58315617742,1055.39111328125
86045.92961615125,1051.90087890625
86631.27607612507,1050.359619140625
87216.62253609889,1040.951049804688
87801.9689960727,1037.366088867188
88387.31545604652,1030.535278320312
88972.66191602034,1026.812622070312
89558.00837599416,1020.33349609375
90143.35483596797,1012.578247070312
90728.70129594179,1004.760559082031
