Dystans (m),Wysokość (m)
0,6625.02734375
15.270572809613096,6621.19091796875
30.541145619226192,6618.478515625
45.811718428839285,6616.08251953125
61.082291238452385,6614.0029296875
76.35286404806548,6612.2392578125
91.62343685767857,6610.79248046875
106.89400966729167,6610.2158203125
122.16458247690477,6610.06494140625
137.43515528651787,6610.23046875
152.70572809613097,6610.71240234375
167.97630090574407,6611.51025390625
183.24687371535714,6612.625
198.51744652497024,6614.0556640625
213.78801933458334,6614.82177734375
229.05859214419644,6615.27392578125
244.32916495380954,6615.50048828125
259.59973776342264,6615.5009765625
274.87031057303574,6615.27587890625
290.14088338264884,6614.82421875
305.41145619226194,6614.39453125
320.68202900187504,6614.17431640625
335.95260181148814,6614.0126953125
351.22317462110124,6613.85107421875
366.4937474307143,6613.68896484375
381.7643202403274,6613.52734375
397.0348930499405,6613.40234375
412.3054658595536,6613.388671875
427.5760386691667,6613.17919921875
442.8466114787798,6612.13818359375
458.1171842883929,6610.9169921875
473.387757098006,6609.51513671875
488.6583299076191,6607.92529296875
503.9289027172322,6606.212890625
519.1994755268453,6604.455078125
534.4700483364584,6602.6767578125
549.7406211460715,6601.02685546875
565.0111939556846,6599.421875
580.2817667652977,6597.8623046875
595.5523395749108,6596.5068359375
610.8229123845239,6595.19873046875
626.093485194137,6593.93505859375
641.3640580037501,6592.8056640625
656.6346308133632,6593.21435546875
671.9052036229763,6593.84912109375
687.1757764325894,6595.00830078125
702.4463492422025,6596.525390625
717.7169220518156,6598.3134765625
732.9874948614286,6600.373046875
748.2580676710417,6602.703125
763.5286404806548,6605.78076171875
778.7992132902679,6610.64501953125
794.069786099881,6616.99755859375
809.3403589094941,6623.7568359375
824.6109317191072,6630.9228515625
839.8815045287203,6638.49560546875
855.1520773383334,6646.47509765625
870.4226501479465,6659.98486328125
885.6932229575596,6676.01708984375
900.9637957671727,6691.958984375
916.2343685767858,6707.81005859375
931.5049413863989,6723.5712890625
946.775514196012,6739.24169921875
962.046087005625,6754.7109375
977.3166598152382,6767.3759765625
992.5872326248513,6779.8642578125
1007.8578054344644,6792.80419921875
1023.1283782440775,6806.19580078125
1038.3989510536906,6820.0400390625
1053.6695238633035,6834.33544921875
1068.9400966729168,6847.99755859375
1084.2106694825297,6861.11669921875
1099.481242292143,6874.02587890625
1114.751815101756,6887.11572265625
1130.0223879113692,6900.38623046875
1145.2929607209821,6913.83740234375
1160.5635335305954,6927.060546875
1175.8341063402083,6940.23095703125
1191.1046791498215,6953.04345703125
1206.3752519594345,6965.49658203125
1221.6458247690477,6978.0859375
1236.9163975786607,6990.81005859375
1252.186970388274,7003.49072265625
1267.457543197887,7015.76318359375
1282.7281160075001,7027.76416015625
1297.9986888171131,7039.33349609375
1313.2692616267263,7050.5244140625
1328.5398344363393,7061.625
1343.8104072459525,7072.91064453125
1359.0809800555655,7085.66162109375
1374.3515528651787,7098.91015625
1389.6221256747917,7112.6552734375
1404.892698484405,7127.02001953125
1420.163271294018,7141.7294921875
1435.4338441036311,7156.2578125
1450.7044169132441,7169.07861328125
1465.9749897228571,7182.14306640625
1481.2455625324703,7195.5244140625
1496.5161353420833,7209.2216796875
1511.7867081516965,7223.11376953125
1527.0572809613095,7236.61181640625
1542.3278537709227,7250.3369140625
1557.5984265805357,7264.26171875
1572.868999390149,7278.322265625
1588.139572199762,7292.51806640625
1603.4101450093751,7306.849609375
1618.6807178189881,7321.31396484375
1633.9512906286013,7336.26708984375
1649.2218634382143,7351.515625
1664.4924362478275,7366.67431640625
1679.7630090574405,7381.7421875
1695.0335818670537,7396.7197265625
1710.3041546766667,7411.60693359375
1725.57472748628,7426.267578125
1740.845300295893,7441.0986328125
1756.1158731055061,7456.169921875
1771.386445915119,7471.46728515625
1786.6570187247323,7486.99072265625
1801.9275915343453,7502.73974609375
1817.1981643439585,7518.81787109375
1832.4687371535715,7536.482421875
1847.7393099631847,7555.70263671875
1863.0098827727977,7574.68603515625
1878.280455582411,7593.126953125
1893.551028392024,7611.02587890625
1908.8216012016371,7628.38232421875
1924.09217401125,7648.88134765625
1939.3627468208633,7668.98291015625
1954.6333196304763,7688.20703125
1969.9038924400893,7706.07666015625
1985.1744652497025,7722.455078125
2000.4450380593155,7737.341796875
2015.7156108689287,7751.03271484375
2030.9861836785417,7763.638671875
2046.256756488155,7775.0244140625
2061.527329297768,7790.45263671875
2076.797902107381,7807.8251953125
2092.068474916994,7824.29345703125
2107.339047726607,7840.2333984375
2122.6096205362205,7855.99169921875
2137.8801933458335,7871.0263671875
2153.1507661554465,7885.33837890625
2168.4213389650595,7902.41748046875
2183.691911774673,7923.0537109375
2198.962484584286,7945.02490234375
2214.233057393899,7970.48291015625
2229.503630203512,7997.43212890625
2244.7742030131253,8025.873046875
2260.0447758227383,8055.8056640625
2275.3153486323513,8087.34326171875
2290.5859214419643,8119.978515625
2305.8564942515777,8154.66259765625
2321.1270670611907,8189.109375
2336.3976398708037,8223.1943359375
2351.6682126804167,8256.91796875
2366.93878549003,8290.279296875
2382.209358299643,8321.0712890625
2397.479931109256,8345.998046875
2412.750503918869,8369.7333984375
2428.0210767284825,8392.4296875
2443.2916495380955,8414.0869140625
2458.5622223477085,8434.7041015625
2473.8327951573215,8454.28125
2489.1033679669345,8474.203125
2504.373940776548,8496.638671875
2519.644513586161,8519.119140625
2534.915086395774,8541.6455078125
2550.185659205387,8564.216796875
2565.4562320150003,8586.833984375
2580.7268048246133,8609.2841796875
2595.9973776342263,8631.26953125
2611.2679504438393,8653.5576171875
2626.5385232534527,8674.9873046875
2641.8090960630657,8695.55859375
2657.0796688726787,8715.2705078125
2672.3502416822917,8734.0830078125
2687.620814491905,8751.0703125
2702.891387301518,8767.2890625
2718.161960111131,8767.705078125
2733.432532920744,8767.62890625
2748.7031057303575,8767.236328125
2763.9736785399705,8766.52734375
2779.2442513495835,8763.763671875
2794.5148241591965,8760.73828125
2809.78539696881,8757.89453125
2825.055969778423,8752.5234375
2840.326542588036,8746.62109375
2855.597115397649,8740.537109375
2870.8676882072623,8732.9111328125
2886.1382610168753,8725.453125
2901.4088338264883,8719.44140625
2916.6794066361012,8714.876953125
2931.9499794457142,8712.1259765625
2947.2205522553277,8709.6513671875
2962.4911250649407,8704.7724609375
2977.7616978745536,8696.5341796875
2993.0322706841666,8689.4716796875
3008.30284349378,8683.583984375
3023.573416303393,8678.87109375
3038.843989113006,8673.55078125
3054.114561922619,8667.3076171875
3069.3851347322325,8657.8935546875
3084.6557075418455,8649.791015625
3099.9262803514584,8642.9990234375
3115.1968531610714,8637.517578125
3130.467425970685,8633.3466796875
3145.737998780298,8627.865234375
3161.008571589911,8617.0966796875
3176.279144399524,8607.255859375
3191.5497172091373,8598.7255859375
3206.8202900187503,8591.5068359375
3222.0908628283632,8585.59765625
3237.3614356379762,8581
3252.6320084475897,8570.572265625
3267.9025812572027,8555.4931640625
3283.1731540668156,8542.9462890625
3298.4437268764286,8532.9287109375
3313.714299686042,8525.443359375
3328.984872495655,8520.4892578125
3344.255445305268,8517.2109375
3359.526018114881,8514.59375
3374.7965909244945,8511.1669921875
3390.0671637341075,8509.095703125
3405.3377365437204,8508.380859375
3420.6083093533334,8509.021484375
3435.8788821629464,8508.6611328125
3451.14945497256,8503.6357421875
3466.420027782173,8500.521484375
3481.690600591786,8495.46875
3496.961173401399,8492.9013671875
3512.2317462110123,8492.8203125
